,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
8328,SWAT: Global Strike Team,X,2007.0,Shooter,Vivendi Games,0.13,0.04,0.0,0.01,0.17,69.0,22.0,6.3,7.0,M
8329,Cabelas Legendary Adventures,PSP,2012.0,Sports,Activision,0.16,0.0,0.0,0.02,0.17,,,,,T
8330,Goblin Commander: Unleash the Horde,PS2,2007.0,Strategy,Jaleco,0.08,0.07,0.0,0.02,0.17,68.0,21.0,8.7,14.0,T
8331,MX World Tour Featuring Jamie Little,PS2,2009.0,Racing,Play It,0.08,0.07,0.0,0.02,0.17,52.0,4.0,,,E
8332,Hello Kitty: Happy Party Pals,GBA,2009.0,Misc,THQ,0.12,0.05,0.0,0.0,0.17,,,,,
8333,Backyard NFL Football 09,PS2,2012.0,Sports,Atari,0.08,0.07,0.0,0.02,0.17,,,,,
8334,World Destruction League: Thunder Tanks,PS2,2004.0,Action,3DO,0.08,0.07,0.0,0.02,0.17,65.0,16.0,5.9,7.0,T
8335,Tom Clancys Ghost Recon: Future Soldier,PC,2016.0,Shooter,Ubisoft,0.05,0.1,0.0,0.02,0.17,71.0,13.0,4.9,368.0,M
8336,Yu-Gi-Oh! Zexal World Duel Carnival,3DS,2017.0,Misc,Konami Digital Entertainment,0.0,0.08,0.08,0.01,0.17,,,,,
8337,Backyard Baseball 10,PS2,2013.0,Sports,Atari,0.08,0.07,0.0,0.02,0.17,,,,,E
8338,Resident Evil Directors Cut: Dual Shock Edition,PS,2001.0,Action,Capcom,0.0,0.0,0.16,0.01,0.17,,,,,
8339,Squeeballs Party,DS,2013.0,Puzzle,Performance Designed Products,0.16,0.0,0.0,0.01,0.17,,,,,E10+
8340,Lets TAP,Wii,2012.0,Misc,Sega,0.08,0.06,0.01,0.02,0.17,70.0,47.0,6.6,11.0,E
8341,Broken Sword: Shadows of the Templars - The Directors Cut,DS,2013.0,Adventure,Ubisoft,0.07,0.08,0.0,0.02,0.17,,,,,
8342,The King of Fighters 95,PS,2000.0,Fighting,Sony Computer Entertainment,0.0,0.0,0.16,0.01,0.17,,,,,
8343,RoadKill,PS2,2007.0,Action,Midway Games,0.08,0.07,0.0,0.02,0.17,71.0,27.0,7.9,11.0,M
8344,Mobile Suit Gundam: Extreme VS Force,PSV,2019.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,57.0,25.0,7.3,15.0,E10+
8345,Hanjuku Eiyuu Tai 3D,PS2,2007.0,Role-Playing,Square Enix,0.0,0.0,0.17,0.0,0.17,,,,,
8346,Marvel Super Hero Squad: The Infinity Gauntlet,PS3,2014.0,Action,THQ,0.12,0.03,0.0,0.02,0.17,54.0,6.0,,,E10+
8347,.hack//G.U. Vol.3//Redemption,PS2,2011.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8348,The Chronicles of Narnia: Prince Caspian,PS3,2012.0,Action,Disney Interactive Studios,0.14,0.01,0.0,0.02,0.17,56.0,16.0,5.6,8.0,T
8349,Super Robot Taisen Compact 2 Dai-1-Bu,WS,2004.0,Strategy,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8350,Looney Tunes: Back in Action,GC,2007.0,Platform,Warner Bros. Interactive Entertainment,0.13,0.03,0.0,0.0,0.17,64.0,6.0,5.0,4.0,E
8351,SingStar Motown,PS3,2013.0,Misc,Sony Computer Entertainment,0.0,0.15,0.0,0.02,0.17,,,,,
8352,Tak: The Great Juju Challenge,GBA,2009.0,Platform,THQ,0.12,0.05,0.0,0.0,0.17,52.0,6.0,,,E
8353,Macross Ultimate Frontier,PSP,2013.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8354,Professor Heinz Wolffs Gravity,Wii,2012.0,Puzzle,Deep Silver,0.04,0.12,0.0,0.02,0.17,63.0,12.0,7.7,7.0,E
8355,Age of Empires III: Complete Collection,PC,2013.0,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.03,0.17,,,8.5,41.0,T
8356,Top Spin 2,X360,2010.0,Sports,Take-Two Interactive,0.15,0.0,0.0,0.01,0.17,75.0,52.0,6.8,25.0,E
8357,Captain America: Super Soldier,X360,2015.0,Action,Sega,0.11,0.05,0.0,0.01,0.17,60.0,48.0,6.3,37.0,T
8358,Danganronpa 2: Goodbye Despair,PSV,2018.0,Misc,Nippon Ichi Software,0.08,0.05,0.0,0.04,0.17,81.0,50.0,8.7,145.0,M
8359,Hunter: The Reckoning Redeemer,X,2007.0,Action,Interplay,0.13,0.04,0.0,0.01,0.17,72.0,26.0,8.6,5.0,M
8360,Monkey Island: Special Edition Collection,PC,2015.0,Adventure,LucasArts,0.0,0.14,0.0,0.03,0.17,,,,,
8361,Tokyo Xtreme Racer,DC,2003.0,Racing,Genki,0.0,0.0,0.17,0.0,0.17,,,,,
8362,Fighter Maker,PS,2002.0,Fighting,Agetec,0.05,0.04,0.07,0.01,0.17,,,,,
8363,Thief: Deadly Shadows,X,2008.0,Action,Eidos Interactive,0.13,0.04,0.0,0.01,0.17,82.0,61.0,7.3,12.0,M
8364,MotoGP 10/11,PS3,2015.0,Racing,Capcom,0.04,0.1,0.0,0.03,0.17,68.0,32.0,6.1,24.0,E
8365,NBA 09: The Inside,PSP,2012.0,Sports,Sony Computer Entertainment,0.16,0.0,0.0,0.01,0.17,79.0,9.0,7.4,7.0,E
8366,Mercury Meltdown Revolution,Wii,2011.0,Action,Ignition Entertainment,0.16,0.0,0.0,0.01,0.17,77.0,41.0,7.4,16.0,E
8367,Batman Begins,GBA,2009.0,Action,Electronic Arts,0.12,0.05,0.0,0.0,0.17,61.0,5.0,6.9,9.0,E10+
8368,Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2013.0,Action,Take-Two Interactive,0.16,0.0,0.0,0.01,0.17,,,,,
8369,Glover,PS,2003.0,Platform,Atari,0.09,0.06,0.0,0.01,0.17,,,,,
8370,Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2008.0,Misc,Namco Bandai Games,0.12,0.05,0.0,0.0,0.17,,,,,
8371,Country Dance: All Stars,X360,2016.0,Action,GameMill Entertainment,0.16,0.0,0.0,0.01,0.17,,,5.2,5.0,E10+
8372,James Cameron's Dark Angel,PS2,2006.0,Action,Universal Interactive,0.08,0.07,0.0,0.02,0.17,48.0,17.0,6.5,19.0,T
8373,Mahjong Fight Clu,PSP,2008.0,Misc,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,,,,,
8374,The Lord of the Rings: Aragorns Quest,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,0.1,0.04,0.0,0.02,0.17,58.0,12.0,6.0,8.0,T
8375,Turok 3: Shadow of Oblivion,N64,2004.0,Shooter,Acclaim Entertainment,0.12,0.05,0.0,0.0,0.17,,,,,
8376,World Driver Championship,N64,2003.0,Racing,Midway Games,0.14,0.03,0.0,0.0,0.17,,,,,
8377,Bomberman 64: The Second Attack!,N64,2003.0,Adventure,Hudson Soft,0.05,0.01,0.11,0.0,0.17,,,,,
8378,Spawn: Armageddon,X,2007.0,Action,Electronic Arts,0.13,0.04,0.0,0.01,0.17,57.0,27.0,9.2,5.0,M
8379,Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2008.0,Misc,Global Star,0.12,0.05,0.0,0.0,0.17,,,,,
8380,Jikkyou Powerful Pro Yakyuu 2013,PSP,2017.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,,,,,
8381,Pok\xc3\xa9mon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,2008.0,Misc,Nintendo,0.12,0.05,0.0,0.0,0.17,,,,,
8382,Major League Baseball 2K9,PS2,2013.0,Sports,Spike,0.08,0.06,0.0,0.02,0.17,,,5.4,5.0,E
8383,Gundam Assault Survive,PSP,2014.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8384,Bee Movie Game,X360,2011.0,Action,Activision,0.16,0.0,0.0,0.01,0.17,71.0,25.0,5.8,13.0,E
8385,Luxor 3,Wii,2012.0,Puzzle,Mumbo Jumbo,0.16,0.0,0.0,0.01,0.17,,,,,E
8386,Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2012.0,Misc,Disney Interactive Studios,0.08,0.06,0.0,0.02,0.17,,,,,
8387,Fate/Stay Night [R\xc3\xa9alta Nua],PS2,2011.0,Adventure,Kadokawa Shoten,0.0,0.0,0.17,0.0,0.17,,,,,
8388,The Rise of the Argonauts,X360,2012.0,Role-Playing,Codemasters,0.03,0.12,0.0,0.01,0.17,,,,,
8389,Disney's Home on the Range,GBA,2008.0,Action,Disney Interactive Studios,0.12,0.04,0.0,0.0,0.17,65.0,4.0,,,E
8390,Space Griffon VF-9,PS,1999.0,Role-Playing,Panther Software,0.02,0.02,0.12,0.01,0.17,,,,,
8391,One Piece: Pirate Warriors 3,PSV,2019.0,Action,Namco Bandai Games,0.0,0.03,0.13,0.01,0.17,76.0,4.0,6.3,17.0,T
8392,Transformers: Dark of the Moon,Wii,2015.0,Action,Activision,0.09,0.06,0.0,0.02,0.17,,,,,
8393,Lego Star Wars: The Force Awakens,X360,2020.0,Action,Warner Bros. Interactive Entertainment,0.07,0.08,0.0,0.01,0.17,,,6.9,7.0,E10+
8394,.hack//G.U. Vol.1//Rebirth,PS2,2010.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8395,Michael Jackson: The Experience 3D,3DS,2015.0,Misc,Ubisoft,0.13,0.03,0.0,0.01,0.17,,,,,
8396,Star Wars: Battlefront II,PC,2009.0,Shooter,LucasArts,0.02,0.13,0.0,0.02,0.17,78.0,23.0,8.8,435.0,T
8397,FaceBreaker,PS3,2012.0,Fighting,Electronic Arts,0.13,0.02,0.0,0.02,0.17,53.0,37.0,3.8,20.0,T
8398,Gyakuten Saiban 3,GBA,2008.0,Adventure,Capcom,0.0,0.0,0.16,0.0,0.17,,,,,
8399,Gallop Racer 2001,PS2,2005.0,Sports,Tecmo Koei,0.05,0.04,0.06,0.01,0.17,71.0,11.0,9.1,56.0,E
8400,MotoGP 09/10,X360,2014.0,Racing,Capcom,0.07,0.09,0.0,0.02,0.17,69.0,41.0,5.7,41.0,E
8401,Nightmare Creatures II,PS,2004.0,Action,Konami Digital Entertainment,0.09,0.06,0.0,0.01,0.17,,,,,
8402,Ashes Cricket 2009,PS3,2013.0,Sports,Codemasters,0.0,0.15,0.0,0.01,0.17,,,,,
8403,Bratz Kidz,Wii,2012.0,Misc,Game Factory,0.16,0.0,0.0,0.01,0.17,,,,,E
8404,N3 II: Ninety-Nine Nights,X360,2014.0,Action,Microsoft Game Studios,0.06,0.06,0.04,0.01,0.17,,,,,
8405,Catwoman,PS2,2008.0,Action,Electronic Arts,0.08,0.06,0.0,0.02,0.17,46.0,35.0,6.9,13.0,T
8406,Garfield: Lasagna World Tour,PS2,2011.0,Action,Blast! Entertainment Ltd,0.08,0.06,0.0,0.02,0.17,,,,,E
8407,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2008.0,Misc,Activision,0.12,0.04,0.0,0.0,0.17,,,,,
8408,Bomberman B-Daman,SNES,2000.0,Shooter,Hudson Soft,0.0,0.0,0.17,0.0,0.17,,,,,
8409,Monsters vs. Aliens,X360,2013.0,Action,Activision,0.12,0.03,0.0,0.01,0.17,63.0,31.0,6.6,7.0,E10+
8410,Terminator 3: The Redemption,PS2,2008.0,Shooter,Atari,0.08,0.06,0.0,0.02,0.17,68.0,29.0,8.0,11.0,T
8411,World Destruction League: Thunder Tanks,PS,2004.0,Action,3DO,0.09,0.06,0.0,0.01,0.17,35.0,4.0,1.2,6.0,T
8412,Beat Down: Fists of Vengeance,PS2,2009.0,Action,Capcom,0.04,0.03,0.09,0.01,0.17,48.0,33.0,8.1,12.0,M
8413,Reloaded,PS,2000.0,Action,Gremlin Interactive Ltd,0.09,0.06,0.0,0.01,0.17,,,,,
8414,Robinson: The Journey,PS4,2020.0,Action,Crytek,0.08,0.06,0.0,0.03,0.17,65.0,44.0,6.9,64.0,
8415,Sword of the Samurai,PS2,2007.0,Fighting,Ubisoft,0.0,0.0,0.17,0.0,0.17,,,,,
8416,LEGO Marvel Super Heroes,PC,2017.0,Action,Warner Bros. Interactive Entertainment,0.04,0.12,0.0,0.01,0.17,78.0,7.0,8.1,124.0,E10+
8417,SSX On Tour,GC,2009.0,Sports,Electronic Arts,0.13,0.03,0.0,0.0,0.17,80.0,27.0,7.5,14.0,E
8418,Fairytale Fights,X360,2013.0,Action,Playlogic Game Factory,0.14,0.02,0.0,0.01,0.17,51.0,47.0,6.2,12.0,M
8419,Hot Wheels: Beat That!,X360,2011.0,Racing,Activision,0.15,0.0,0.0,0.01,0.17,,,,,
8420,James Bond 007: Everything or Nothing,GBA,2007.0,Shooter,Electronic Arts,0.12,0.04,0.0,0.0,0.17,73.0,17.0,8.3,11.0,T
8421,Naruto Shippuden: Ultimate Ninja 5,PS2,2011.0,Fighting,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8422,Total War: WARHAMMER,PC,2020.0,Strategy,Sega,0.0,0.16,0.0,0.01,0.17,86.0,77.0,7.3,567.0,T
8423,Shrek Extra Large,GC,2006.0,Platform,TDK Mediactive,0.13,0.03,0.0,0.0,0.17,36.0,6.0,5.6,23.0,T
8424,Final Fantasy V,PS,2002.0,Role-Playing,SquareSoft,0.0,0.0,0.16,0.01,0.17,,,,,
8425,World Tour Soccer 2006,PS2,2008.0,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02,0.17,56.0,20.0,6.0,7.0,E
8426,Camp Rock: The Final Jam,DS,2014.0,Misc,Disney Interactive Studios,0.14,0.02,0.0,0.01,0.17,,,,,
8427,Gunvalkyrie,X,2006.0,Shooter,Infogrames,0.13,0.04,0.0,0.01,0.17,73.0,28.0,7.3,10.0,T
8428,NickToons: Racing,PS,2005.0,Racing,Hasbro Interactive,0.09,0.06,0.0,0.01,0.17,,,,,
8429,Jillian Michaels Fitness Ultimatum 2011,Wii,2014.0,Sports,D3Publisher,0.16,0.0,0.0,0.01,0.17,,,,,E
8430,VR Golf 97,PS,2000.0,Sports,Gremlin Interactive Ltd,0.09,0.06,0.0,0.01,0.17,,,,,
8431,State of Emergency,X,2007.0,Action,Take-Two Interactive,0.13,0.04,0.0,0.01,0.17,67.0,21.0,6.3,11.0,M
8432,Demon Gaze,PSV,2017.0,Role-Playing,Nippon Ichi Software,0.04,0.02,0.08,0.02,0.17,70.0,38.0,7.4,129.0,T
8433,Just Dance 2017,XOne,2020.0,Misc,Ubisoft,0.13,0.02,0.0,0.02,0.17,75.0,5.0,8.0,6.0,E10+
8434,Off-World Interceptor Extreme,PS,1999.0,Racing,Crystal Dynamics,0.09,0.06,0.0,0.01,0.17,,,,,
8435,My French Coach,DS,2011.0,Misc,Ubisoft,0.14,0.01,0.0,0.01,0.17,,,,,E
8436,Fuzion Frenzy 2,X360,2011.0,Misc,Microsoft Game Studios,0.14,0.01,0.0,0.01,0.17,49.0,47.0,5.2,31.0,E10+
8437,Disney Golf,PS2,2006.0,Sports,Electronic Arts,0.07,0.06,0.02,0.02,0.17,72.0,10.0,8.3,7.0,E
8438,The Naked Brothers Band: The Video Game,PS2,2012.0,Misc,THQ,0.08,0.06,0.0,0.02,0.17,,,,,
8439,Clock Tower II: The Struggle Within,PS,2002.0,Adventure,Human Entertainment,0.02,0.01,0.12,0.01,0.17,49.0,5.0,5.7,7.0,M
8440,Batman Beyond: Return of the Joker,PS,2004.0,Action,Ubisoft,0.09,0.06,0.0,0.01,0.17,,,4.3,7.0,
8441,Backyard NFL Football 10,Wii,2013.0,Sports,Atari,0.16,0.0,0.0,0.01,0.17,,,,,
8442,CSI: Fatal Conspiracy,X360,2014.0,Adventure,Ubisoft,0.11,0.04,0.0,0.01,0.17,42.0,9.0,4.8,4.0,M
8443,Mega Man Network Transmission,GC,2007.0,Platform,Capcom,0.13,0.03,0.0,0.0,0.17,65.0,28.0,7.6,13.0,E
8444,Densetsu no Stafi 4,DS,2010.0,Platform,Nintendo,0.0,0.0,0.17,0.0,0.17,,,,,
8445,Fairytale Fights,PS3,2013.0,Action,Playlogic Game Factory,0.11,0.03,0.0,0.02,0.17,53.0,34.0,6.0,22.0,M
8446,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,2012.0,Role-Playing,Atlus,0.0,0.0,0.17,0.0,0.17,,,,,
8447,Magical Starsign (US sales),DS,2010.0,Role-Playing,Nintendo,0.14,0.02,0.0,0.0,0.17,,,,,
8448,Pursuit Force: Extreme Justice,PSP,2011.0,Action,Sony Computer Entertainment,0.07,0.06,0.0,0.03,0.17,73.0,44.0,7.6,11.0,T
8449,Dragon Quest X,3DS,2018.0,Role-Playing,Square Enix,0.0,0.0,0.17,0.0,0.17,,,,,
8450,Tokimeki Memorial: Private Collection,PS,2000.0,Misc,Konami Digital Entertainment,0.0,0.0,0.16,0.01,0.17,,,,,
8451,G-Force,X360,2013.0,Action,Disney Interactive Studios,0.11,0.05,0.0,0.01,0.17,68.0,33.0,7.0,9.0,E10+
8452,RC Revenge Pro,PS2,2004.0,Racing,Acclaim Entertainment,0.08,0.06,0.0,0.02,0.17,49.0,13.0,7.6,7.0,E
8453,Surfs Up,Wii,2011.0,Sports,Ubisoft,0.15,0.0,0.0,0.01,0.17,64.0,9.0,,,E10+
8454,Buzz! Brain of the UK,PS3,2013.0,Misc,Sony Computer Entertainment,0.0,0.15,0.0,0.01,0.17,,,,,
8455,Time and Eternity,PS3,2016.0,Role-Playing,Nippon Ichi Software,0.06,0.03,0.06,0.02,0.17,42.0,40.0,5.0,78.0,T
8456,Backyard Wrestling: Dont Try This at Home,X,2007.0,Fighting,Eidos Interactive,0.13,0.04,0.0,0.01,0.17,50.0,15.0,5.0,7.0,M
8457,Gauntlet: Dark Legacy,X,2006.0,Action,Midway Games,0.13,0.04,0.0,0.01,0.17,54.0,9.0,8.9,10.0,T
8458,Football Manager 2017,PC,2020.0,Simulation,Sega,0.0,0.16,0.0,0.01,0.17,81.0,43.0,4.3,62.0,E
8459,Far East of Eden II: Manji Maru,PS2,2007.0,Role-Playing,Hudson Soft,0.0,0.0,0.17,0.0,0.17,,,,,
8460,Disney Sing It: Family Hits,PS3,2014.0,Misc,Disney Interactive Studios,0.11,0.03,0.0,0.02,0.17,72.0,4.0,,,E
8461,Lost Kingdoms,GC,2006.0,Role-Playing,Activision,0.1,0.02,0.04,0.0,0.17,72.0,22.0,8.0,15.0,T
8462,Ridge Racer Unbounded,PS3,2016.0,Racing,Namco Bandai Games,0.05,0.09,0.0,0.03,0.17,72.0,20.0,6.0,29.0,T
8463,The Cursed Crusade,PS3,2015.0,Action,DTP Entertainment,0.07,0.06,0.01,0.03,0.17,45.0,17.0,5.0,26.0,M
8464,Brunswick Cosmic Bowling,Wii,2014.0,Sports,GameMill Entertainment,0.16,0.0,0.0,0.01,0.17,,,,,E
8465,NHL 07,PSP,2010.0,Sports,Electronic Arts,0.13,0.02,0.0,0.02,0.17,76.0,7.0,6.6,23.0,E10+
8466,Matchbox Cross Town Heroes,GBA,2006.0,Racing,THQ,0.12,0.04,0.0,0.0,0.17,,,,,
8467,Wolfenstein 3D,GBA,2006.0,Shooter,BAM! Entertainment,0.12,0.04,0.0,0.0,0.17,57.0,9.0,6.0,7.0,M
8468,Nobunaga no Yabou: Tenshoki,SNES,2000.0,Strategy,Tecmo Koei,0.0,0.0,0.17,0.0,0.17,,,,,
8469,Im A Celebrity: Get Me Out of Here!,Wii,2013.0,Misc,Mindscape,0.0,0.16,0.0,0.01,0.17,,,,,
8470,Dementium: The Ward,DS,2011.0,Shooter,SouthPeak Games,0.15,0.01,0.0,0.01,0.17,72.0,48.0,7.9,37.0,M
8471,Sudoku Gridmaster,DS,2010.0,Puzzle,Nintendo,0.13,0.02,0.0,0.01,0.17,62.0,14.0,,,E
8472,Learning to Spell,DS,2014.0,Misc,505 Games,0.16,0.0,0.0,0.01,0.17,,,,,E
8473,TRON: Evolution,DS,2014.0,Action,Disney Interactive Studios,0.11,0.04,0.0,0.01,0.17,58.0,5.0,,,E10+
8474,Jikkyou Powerful Pro Yakyuu 2014,PS3,2018.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,,,,,
8475,Green Lantern: Rise of the Manhunters,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,0.09,0.05,0.0,0.02,0.17,61.0,12.0,6.7,17.0,T
8476,Super Power League,SNES,1997.0,Sports,Hudson Soft,0.0,0.0,0.17,0.0,0.17,,,,,
8477,NASCAR 14,X360,2018.0,Racing,Deep Silver,0.15,0.0,0.0,0.02,0.17,65.0,4.0,5.1,14.0,E
8478,Bakugan Battle Brawlers: Defenders of the Core,PS3,2014.0,Action,Activision,0.14,0.01,0.0,0.02,0.17,50.0,7.0,,,E10+
8479,Street Fighter Alpha 2,SNES,2000.0,Fighting,Nintendo,0.0,0.0,0.17,0.0,0.17,,,,,
8480,Naval Assault: The Killing Tide,X360,2014.0,Simulation,505 Games,0.08,0.07,0.0,0.02,0.17,40.0,11.0,4.2,5.0,T
8481,25 to Life,X,2010.0,Shooter,Eidos Interactive,0.12,0.04,0.0,0.01,0.17,41.0,20.0,7.2,13.0,M
8482,Madden NFL 17,PS3,2020.0,Sports,Electronic Arts,0.1,0.04,0.0,0.03,0.17,,,0.2,5.0,E
8483,NASCAR 15,X360,2019.0,Sports,Deep Silver,0.15,0.0,0.0,0.02,0.17,,,3.8,6.0,E
8484,We Sing UK Hits,Wii,2015.0,Misc,Nordic Games,0.0,0.15,0.0,0.02,0.17,,,,,T
8485,NCAA Basketball 09,PS3,2012.0,Sports,Electronic Arts,0.15,0.0,0.0,0.01,0.17,68.0,17.0,,,E
8486,Bomberman Land,Wii,2011.0,Misc,Rising Star Games,0.11,0.01,0.03,0.01,0.17,57.0,23.0,8.0,10.0,E
8487,Sega Superstars,PS2,2008.0,Misc,Sega,0.08,0.06,0.0,0.02,0.17,72.0,28.0,7.0,5.0,T
8488,Midway Arcade Treasures,GC,2007.0,Misc,Midway Games,0.13,0.03,0.0,0.0,0.17,72.0,11.0,8.2,5.0,T
8489,Leisure Suit Larry: Magna Cum Laude,X,2008.0,Adventure,Vivendi Games,0.12,0.04,0.0,0.01,0.17,62.0,49.0,6.4,13.0,M
8490,Pac-Man World 3,DS,2009.0,Platform,Namco Bandai Games,0.15,0.0,0.0,0.01,0.17,44.0,8.0,,,E
8491,Mousetrap / Operation / Simon,GBA,2009.0,Misc,DSI Games,0.12,0.04,0.0,0.0,0.17,,,,,
8492,Shawn Johnson Gymnastics,Wii,2014.0,Sports,Zoo Games,0.16,0.0,0.0,0.01,0.17,,,,,E
8493,NBA 09: The Inside,PS2,2012.0,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02,0.17,,,,,E
8494,ZhuZhu Puppies,DS,2015.0,Simulation,Activision,0.12,0.03,0.0,0.01,0.17,,,,,E
8495,Resident Evil,SAT,2001.0,Action,Capcom,0.0,0.0,0.17,0.0,0.17,,,,,
8496,7 Days to Die,PS4,2020.0,Action,Telltale Games,0.06,0.08,0.0,0.03,0.17,45.0,16.0,5.9,147.0,M
8497,TOEIC Test Training DS,DS,2011.0,Misc,IE Institute,0.0,0.0,0.17,0.0,0.17,,,,,
8498,Itoi Shigesato no Bass Tsuri No. 1,SNES,2001.0,Sports,Nintendo,0.0,0.0,0.17,0.0,0.17,,,,,
8499,Cubivore: Survival of the Fittest,GC,2006.0,Adventure,Nintendo,0.01,0.0,0.15,0.0,0.17,71.0,12.0,8.5,21.0,E
8500,FlatOut,X,2008.0,Racing,Empire Interactive,0.12,0.04,0.0,0.01,0.17,71.0,39.0,8.2,21.0,T
8501,Chaotic: Shadow Warriors,PS3,2013.0,Action,Activision,0.15,0.0,0.0,0.02,0.17,,,,,E10+
8502,Mr. Do!s Castle,2600,1987.0,Action,Parker Bros.,0.15,0.01,0.0,0.0,0.17,,,,,
8503,Armor Ambush,2600,1985.0,Action,Mattel Interactive,0.15,0.01,0.0,0.0,0.17,,,,,
8504,Death Trap,2600,1986.0,Action,Avalon Interactive,0.15,0.01,0.0,0.0,0.17,,,,,
8505,Zoo Keeper,DS,2008.0,Puzzle,Ignition Entertainment,0.1,0.01,0.05,0.01,0.17,74.0,40.0,7.5,13.0,E
8506,Parodius,SAT,1999.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.16,0.0,0.17,,,,,
8507,Easy Piano,DS,2013.0,Misc,Game Life,0.04,0.11,0.0,0.02,0.16,52.0,4.0,,,E
8508,Blood Bowl,X360,2013.0,Sports,Focus Home Interactive,0.13,0.02,0.0,0.01,0.16,61.0,28.0,5.0,20.0,T
8509,Phantasy Star Online 2,PSV,2017.0,Role-Playing,Sega,0.0,0.0,0.16,0.0,0.16,,,,,
8510,Taz Wanted,PS2,2006.0,Platform,Atari,0.08,0.06,0.0,0.02,0.16,65.0,7.0,8.7,9.0,E
8511,Sid Meiers Civilization IV,PC,2009.0,Strategy,Take-Two Interactive,0.02,0.12,0.0,0.03,0.16,94.0,50.0,8.3,914.0,E10+
8512,TransFormers Animated: The Game,DS,2012.0,Action,Activision,0.15,0.0,0.0,0.01,0.16,69.0,15.0,,,E
8513,Pursuit Force,PSP,2009.0,Racing,Sony Computer Entertainment,0.14,0.01,0.0,0.01,0.16,75.0,59.0,7.8,26.0,T
8514,Vehicular Combat League presents Motor Mayhem,PS2,2005.0,Racing,Atari,0.08,0.06,0.0,0.02,0.16,,,,,
8515,Chuck E. Cheeses Party Games,Wii,2014.0,Misc,UFO Interactive,0.15,0.0,0.0,0.01,0.16,,,,,E
8516,PoPoLoCrois: Hajimari no Bouken,PS2,2006.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.16,0.0,0.16,,,,,
8517,Just Dance 2017,X360,2020.0,Misc,Ubisoft,0.11,0.04,0.0,0.02,0.16,,,,,E10+
8518,Star Wars: Super Bombad Racing,PS2,2005.0,Racing,LucasArts,0.08,0.06,0.0,0.02,0.16,71.0,21.0,4.9,8.0,E
8519,Hamster Heroes,Wii,2012.0,Puzzle,Popcorn Arcade,0.16,0.0,0.0,0.0,0.16,,,,,
8520,Hot Wheels Velocity X,GBA,2006.0,Racing,THQ,0.12,0.04,0.0,0.0,0.16,,,,,
8521,Driver: San Francisco,Wii,2015.0,Racing,Ubisoft,0.06,0.09,0.0,0.02,0.16,64.0,7.0,6.2,10.0,T
8522,Disney Friends,DS,2011.0,Simulation,Disney Interactive Studios,0.12,0.03,0.0,0.01,0.16,,,7.3,4.0,E
8523,Alien Resurrection,PS,2004.0,Shooter,Fox Interactive,0.09,0.06,0.0,0.01,0.16,61.0,12.0,7.5,15.0,M
8524,World Tour Soccer 2005,PS2,2008.0,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02,0.16,68.0,28.0,9.0,6.0,E
8525,Dead Island Definitive Collection,PS4,2020.0,Action,Deep Silver,0.05,0.07,0.02,0.02,0.16,63.0,32.0,6.4,46.0,M
8526,Odin Sphere: Leifthrasir,PSV,2020.0,Role-Playing,Nippon Ichi Software,0.04,0.02,0.09,0.02,0.16,93.0,5.0,8.0,85.0,T
8527,ESPN College Hoops,PS2,2007.0,Sports,Sega,0.08,0.06,0.0,0.02,0.16,83.0,14.0,8.5,8.0,E
8528,Leisure Suit Larry: Box Office Bust,X360,2013.0,Adventure,Codemasters,0.14,0.01,0.0,0.01,0.16,25.0,27.0,2.5,41.0,M
